Feature,Normalized.Dispersion
WBGene00000003,-0.1746124423957954
WBGene00000007,3.548942874451478
WBGene00000014,NaN
WBGene00000015,NaN
WBGene00000022,-0.3303798981715059
WBGene00000024,4.663647708359039
WBGene00000027,1.1588855484629397
WBGene00000029,NaN
WBGene00000030,NaN
WBGene00000031,240.5576745892265
WBGene00000054,0.29029742273913584
WBGene00000055,0.5692778897665894
WBGene00000056,-0.2956338147246392
WBGene00000057,0.10561829282121371
WBGene00000062,11.225129418909555
WBGene00000063,2.4155993290106563
WBGene00000064,-0.3715307018392214
WBGene00000065,1.6672238998908622
WBGene00000069,5.827920176634707
WBGene00000071,0.4252566560302751
WBGene00000073,0.03548400046837045
WBGene00000097,-0.4067026636853781
WBGene00000098,-0.8924100013398611
WBGene00000102,1.400539281493544
WBGene00000108,0.7111845601981892
WBGene00000110,-0.2364972020593383
WBGene00000111,-0.5650731339752169
WBGene00000139,-0.7763815726037222
WBGene00000142,-0.4080716813012747
WBGene00000144,-1.7563978090793542
WBGene00000146,-0.04757227135760264
WBGene00000159,-1.0432023393653576
WBGene00000168,2.0427663375697303
WBGene00000172,10.8663950065507
WBGene00000173,4.17855162339293
WBGene00000174,2.380383510245761
WBGene00000200,-1.1866981596031336
WBGene00000214,34.57880241354529
WBGene00000215,6.506067201602697
WBGene00000218,7.42880015518713
WBGene00000219,6.777185424744629
WBGene00000226,-0.02596095453197054
WBGene00000228,3.3964086164013043
WBGene00000233,5.690477742069962
WBGene00000244,4.732552628262632
WBGene00000249,-1.4761486600248774
WBGene00000250,-0.79319149999873
WBGene00000257,-0.2667746048277431
WBGene00000285,0.34458813097346674
WBGene00000298,0.4783538002521301
WBGene00000302,-0.5343994538015974
WBGene00000373,3.8819358741842334
WBGene00000387,0.6820499641243346
WBGene00000412,-1.4986134465921332
WBGene00000445,9.79163858612758
WBGene00000447,11.999699100245268
WBGene00000449,11.452581574038001
WBGene00000453,11.228187125862195
WBGene00000454,0.413648655747385
WBGene00000455,14.65061136505438
WBGene00000477,1.765763908875556
WBGene00000478,3.370311386720668
WBGene00000480,-0.19959182328919536
WBGene00000488,1.7522850597359947
WBGene00000490,4.508172381841197
WBGene00000491,3.9554573335448113
WBGene00000498,-2.32285705711533
WBGene00000499,-0.7386179171670509
WBGene00000514,-0.7853818900332221
WBGene00000521,7.521422863979331
WBGene00000533,-1.1838689738502113
WBGene00000534,-0.7928435305367539
WBGene00000539,-0.2806250155818295
WBGene00000541,-1.8605328279222872
WBGene00000552,0.2154706686253784
WBGene00000554,0.8687048264654081
WBGene00000555,-0.3230858102514857
WBGene00000556,1.068763324802746
WBGene00000557,18.28933615616456
WBGene00000558,35.61697033147328
WBGene00000559,NaN
WBGene00000562,1.9142693909089816
WBGene00000592,-1.5557591951419285
WBGene00000599,1.3448808449641134
WBGene00000601,4.940137727884756
WBGene00000602,1.5113437726569592
WBGene00000614,NaN
WBGene00000620,-1.2544332323750047
WBGene00000712,NaN
WBGene00000713,2.41985361709288
WBGene00000714,-0.5426333174671811
WBGene00000715,-0.13621960210595352
WBGene00000716,-0.5641952424999699
WBGene00000717,0.632518736435337
WBGene00000718,2.130739568761829
WBGene00000719,18.368564889002556
WBGene00000720,1.8599522081173432
WBGene00000721,-0.6336754712921386
WBGene00000722,2.2927068158177293
WBGene00000723,29.6905432898525
