Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
WBGene00000003,aat-2,0.03348948504580382,-0.5601256941308064,0.014435927013176775,0.029419569793255725,-0.8919045073028329,0.00004500790095358187,0.10342772436935835,1.7256060546333356,0.0000000000052427223092803306
WBGene00000007,aat-6,0.004394010449272132,3.9311608618260303,0.00000005228961323740264,0.00020289358478107396,-3.4065321615449893,0.000018625633383850375,0.00027289637036770017,-2.0037863198280697,0.11398588183271084
WBGene00000014,abf-3,0.00023751407833903416,2.2681958491036003,0.1871356964513289,0,-1.2910549441250545,0.561407581422686,0,0.733179274338136,1
WBGene00000015,abf-4,0.00011875703916951708,1.6832333483824442,0.4358135586648731,0,-0.7060924434038984,1,0,1.318141775059292,1
WBGene00000022,abt-4,0.011756946877782191,3.0791620247135842,0.000000000000011462684417202943,0.0015217018858580547,-2.392592970587116,0.000000021868042828291822,0.0008186891111031004,-2.5273482758850827,0.0006146927159150895
WBGene00000024,abu-1,0.0026126548617293756,1.8848672095520964,0.010909467846159865,0.0008115743391242958,-1.1211299426827424,0.1775382447021856,0.00027289637036770017,-1.6360545353275828,0.29605432228291323
WBGene00000027,abu-4,0.0009500563133561366,1.2681958491036003,0.178994271524577,0.0004057871695621479,-0.7060924434038984,0.5313852333656466,0.00027289637036770017,-0.38229794308180054,0.8648229024878435
WBGene00000029,abu-6,0.00023751407833903416,2.2681958491036003,0.1871356964513289,0,-1.2910549441250545,0.561407581422686,0,0.733179274338136,1
WBGene00000030,abu-7,0.00011875703916951708,1.6832333483824442,0.4358135586648731,0,-0.7060924434038984,1,0,1.318141775059292,1
WBGene00000031,abu-8,0.22706345889211665,3.2994522878663095,0.0000000000000000000016064258357474785,0.018260422630296657,-3.2034260372583145,0.000000000000000035466574352789036,0.03574942451816872,-1.6688207018379626,0.0051155567994716185
WBGene00000054,acr-15,0.008906777937713781,-0.14565473522479966,0.7073484588304044,0.0024347230173728876,-2.601395064737206,0.0000000000005311523379628786,0.030018600740447016,2.468701451634674,0.0000000000009792822509610745
WBGene00000055,acr-16,0.008669263859374747,-0.09599797276077116,0.8385178105467516,0.0032462973564971833,-2.0540157468242057,0.000000005707318898387574,0.025652258814563813,2.160076928827042,0.000000002392660658766578
WBGene00000056,acr-17,0.004987795645119718,1.0651039837260905,0.017871390923449082,0.0028405101869350357,-0.4027002999539633,0.4034804198397525,0.0010915854814708007,-1.5096772495580257,0.060096933686270795
WBGene00000057,acr-18,0.0033251970967464782,2.371289342067705,0.00011136837170496207,0.00020289358478107396,-3.250412959627708,0.000017071250709721368,0.0016373782222062008,0.17130038673002268,0.9647096806095502
WBGene00000062,acr-23,0.005462823801797786,1.4829346978966136,0.016633619278878107,0.0009130211315148328,-2.384164348516536,0.0006774961957504014,0.004639238296250903,0.6807118544440014,0.41530383339445437
WBGene00000063,act-1,0.4183810489942087,-0.24004860154630236,0.2499748209483106,0.2630515326686624,-1.2593790420164297,0.00000000009197287768612461,1.1158732584335258,1.737418342150651,0.000000000000022981005351485722
WBGene00000064,act-2,0.2533087645485799,-0.4838343835819152,0.01676536009341129,0.4235403582304919,0.896597649866602,0.0000019866426556216832,0.16810416414650328,-1.0359271812442248,0.0005506294156083858
WBGene00000065,act-3,0.7277431360308007,-0.4148107616686171,0.040568620646212784,0.44555431217923847,-1.4638597592465576,0.000000000000038502989323436466,2.381566624198919,2.0485929454089318,0.000000000000000000007751488264495636
WBGene00000069,acy-2,0.019594911462970318,3.3578330615882788,0.00000000000000006124557255897463,0.0018260422630296657,-2.892793157597037,0.00000000004735231769748735,0.001910274592573901,-2.205420180997721,0.0015245772841316469
WBGene00000071,acy-4,0.01626971436622384,2.3994403823818544,0.0000000000005118006007879247,0.0028405101869350357,-2.086516187601406,0.000000005708123839427565,0.003547652814780102,-1.249542734230027,0.026367890751468365
WBGene00000073,add-2,0.051184283882061865,1.2681958491036012,0.000000008171688950633438,0.02181106036396545,-0.928484864740347,0.00004633566863387325,0.01964853866647441,-0.8296555680531981,0.021041263092389392
WBGene00000097,aip-1,0.07327309316759203,-0.3260743938437827,0.13504265737692303,0.10662057880245437,0.6710484481164167,0.000796080844779795,0.052396103110598426,-0.7941694270352251,0.012855462737094352
WBGene00000098,air-1,0.02731411900898893,-2.18867855461148,0.00000000000000000000016391890401549958,0.1626192082020308,2.6284830277666664,0.00000000000000000000000000000000000013577294086736086,0.023741984221989913,-2.063204529898464,0.0000000007769451269100554
WBGene00000102,akt-1,0.14333974627760712,0.6030952780048002,0.0028967117812045487,0.08054875315808636,-0.7940889244017271,0.00009197440078028328,0.13153605051723147,0.2667948950590726,0.3540523531435016
WBGene00000108,alh-2,0.0022563837442208245,3.0051614432698077,0.0001371158741448643,0.00020289358478107396,-2.513447365461502,0.003314464929679365,0.00027289637036770017,-1.1412898435780043,0.4319431225752165
WBGene00000110,alh-4,0.0674539982482857,0.3002428140682243,0.16495367400242494,0.0603608414723695,0.03127664539251107,0.9030448529704906,0.03984287007368422,-0.6670612230126265,0.04688377167090709
WBGene00000111,alh-5,0.006175366036814889,1.125751584083397,0.005132494462937286,0.0034491909412782576,-0.40969944062367425,0.35079830587044175,0.0010915854814708007,-1.8028736259020723,0.01195876161121101
WBGene00000139,amx-3,0.017813555875427562,1.5293206649287638,0.00000007572826528639981,0.007304169052118663,-0.856117887408506,0.0036840546849342924,0.0030018600740447017,-1.8977956241398566,0.0002095988340170737
WBGene00000142,aos-1,0.035627111750855124,-0.38920866428619405,0.09266624007085908,0.05427403392893729,0.7233721265102258,0.0006822784647902988,0.026470947925666913,-0.7745075129063821,0.024332448475005118
WBGene00000144,apc-10,0.0034439541359159954,-1.941257516525348,0.000000003374263682655365,0.017956082253125047,2.560187621933549,0.000000000000000017419245917789135,0.001910274592573901,-2.375345182440033,0.000012050120824408865
WBGene00000146,ape-1,0.15604674946874544,-0.07486064016139737,0.741982120393207,0.1733725681954277,0.19684880662064552,0.33722220794450697,0.14026873436899787,-0.2356720270911996,0.5357772046028718
WBGene00000159,aps-1,0.10700009229173489,-0.33898681645911743,0.10703233923383776,0.16931469649980624,0.9442575084563263,0.000001048184879375433,0.04420921199956742,-1.6612439655432856,0.0000001778320852380022
WBGene00000168,apx-1,0.030164287949057338,-0.05033366932189587,0.8921641382051131,0.04037582337143372,0.8048694758734811,0.0008883803222072509,0.006822409259192503,-2.332357688346046,0.00000008893600650877609
WBGene00000172,aqp-4,0.0896615645729854,3.5450360544624258,0.000000000000000000000000000000000000022174564956307673,0.006898381882556515,-3.2251018710985213,0.000000000000000000000000003621590469856229,0.009551372962869505,-2.1984337506816134,0.000001369393599899051
WBGene00000173,aqp-5,0.002968925979237927,3.383673066523537,0.00003515648246991933,0.00010144679239053698,-3.513447365461502,0.00023074184896221112,0.0005457927407354003,-0.8517832263830201,0.6844770684547584
WBGene00000174,aqp-6,0.014844629896189636,0.840334309467174,0.01334443690514805,0.010651913201006384,-0.03345442434188861,0.9728704221655486,0.001910274592573901,-2.533607266356765,0.00008289933445918673
WBGene00000200,arx-2,0.07113546646254074,-0.37103631414567584,0.08678900928052007,0.11138857804480962,0.8509187947560952,0.000016977549887716586,0.040115766444051924,-1.2020256028647962,0.00017071067162361937
WBGene00000214,asp-1,0.5364255459287086,3.5323802709734906,0.0000000000000000000000000000000000000000000000000000004765374216732889,0.041796078464901236,-3.2243288303242417,0.00000000000000000000000000000000000000059450339642162736,0.05839982325868783,-2.201037306616521,0.0000000021141956735832343
WBGene00000215,asp-2,0.10450619446917503,3.3164844377981773,0.00000000000000000000000000000000000000041428568830837634,0.008927317730367255,-3.097637752147163,0.00000000000000000000000000001119897632033781,0.014463507629488108,-1.84732357819232,0.000005512795537535723
WBGene00000218,asp-5,0.13312664090902865,3.4227728862124778,0.0000000000000000000000000000000000000000012949449239862866,0.011159147162959068,-3.115024580033555,0.0000000000000000000000000000018474683839877542,0.015555093110958908,-2.0906637705080366,0.00000037345910661390947
WBGene00000219,asp-6,0.11935082436536466,3.4384794177258104,0.0000000000000000000000000000000000000000004180547366010662,0.00842008376841457,-3.3785177853753936,0.0000000000000000000000000000000004359449669962007,0.01773826407390051,-1.7262523442991604,0.000015438454550858745
WBGene00000226,atl-1,0.05391569578296076,-0.42073457148373006,0.05740238766419907,0.08572253957000375,0.8212047166059993,0.000053784677771562465,0.03602232088853642,-0.9708716973553346,0.0030642149941727623
WBGene00000228,atn-1,0.16222211550556034,0.9426839406256624,0.000002608217425106317,0.059955054302807356,-1.4012736994430988,0.000000000013225716857208475,0.15009300370223508,0.4888852340267551,0.07275084642494
WBGene00000233,avr-15,0.03978360812178822,2.717998766543122,0.000000000000000000004963510245484503,0.006492594712994367,-2.1472490036466247,0.000000000002505160682677211,0.004639238296250903,-2.1557894132731192,0.00002250366939850634
WBGene00000244,bbs-8,0.09548065949229173,2.699453700840776,0.000000000000000000000000000000005409256752080774,0.013695316972722494,-2.380180834598039,0.00000000000000000000008279158528839355,0.017192471333165107,-1.5583751715057064,0.000022809118182204946
