109510	100
4358	5193	2	0	2	2
5296	6035	2	0	1	2
6327	9725	2	0	2	2
9846	10093	2	1	2	2
11561	11616	1	0	0	1
11689	14949	1	1	0	1
15160	16471	1	0	0	1
16582	16697	0	3	5	1
17958	18004	2	0	2	2
18115	19013	2	2	0	2
19241	20269	2	0	0	2
20478	20846	2	0	1	2
20964	21011	2	0	0	2
21139	24649	2	0	0	2
24845	24927	2	0	0	2
25090	25271	2	1	1	2
25472	26369	2	0	0	2
26524	26588	2	0	0	2
26681	26731	2	0	0	2
26690	26731	2	0	0	2
28405	29098	2	0	2	2
29367	29767	2	1	0	2
30424	31767	2	2	1	2
32072	32410	2	0	1	2
32542	33035	2	0	1	2
43961	44028	1	2	0	1
44234	44279	1	0	2	1
44324	44370	1	1	0	1
44468	44519	1	0	0	1
47610	47694	1	1	1	1
47858	48346	1	0	0	1
48530	49249	1	2	1	1
50016	50813	1	0	1	1
51030	52281	1	0	0	1
52410	52464	1	1	0	1
52572	53264	1	1	0	1
53337	53389	1	2	1	1
53695	53942	1	0	1	1
55450	55888	2	1	0	2
56047	56122	2	0	0	2
56293	56535	2	0	1	2
56687	56870	2	0	2	2
57053	57255	2	0	1	2
57625	59043	2	0	0	2
60236	61234	2	0	1	2
62051	62772	2	0	2	2
62974	63795	2	0	2	2
63856	63902	2	0	2	2
63972	64016	2	1	0	2
71511	71845	1	2	0	1
71932	72509	1	0	0	1
72590	72645	1	0	0	1
72897	72939	1	1	1	1
73017	73603	1	0	0	1
73766	74623	1	0	0	1
74808	75169	1	1	0	1
75490	75949	1	0	0	1
76112	76947	1	0	1	1
77153	77711	1	0	0	1
77799	79311	1	0	0	1
79447	80304	1	3	2	1
80558	80809	0	3	3	1
81272	81883	1	2	0	1
81963	82014	1	0	0	1
82137	82584	1	2	0	1
82676	83179	1	2	2	1
83420	84188	1	0	0	1
84313	84386	1	1	0	1
84567	84612	1	0	0	1
84738	84834	1	1	0	1
84985	86822	1	1	0	1
85354	85439	2	1	2	2
85621	86095	2	0	0	2
86904	87032	1	1	2	1
87223	87518	1	0	0	1
87734	88266	1	0	0	1
88500	88564	1	2	0	1
88706	89370	1	1	0	1
89584	90417	1	0	0	1
91594	92521	1	2	1	1
93136	93180	1	2	0	1
93556	93607	1	0	0	1
94015	94062	1	0	0	1
94208	94267	1	2	0	1
94568	94620	1	0	0	1
94929	94974	4	0	0	2
95118	95235	2	0	0	2
96992	97598	2	0	1	2
97960	98293	2	0	1	2
99058	99627	2	0	0	2
99789	100137	2	0	0	2
100323	100393	2	0	1	2
100338	100393	2	1	1	2
100625	101503	2	0	3	2
101733	102446	2	0	0	2
103216	104438	2	0	0	2
104713	105434	2	0	1	2
105621	106014	2	0	2	2
106334	106687	2	0	0	2
106819	107354	2	0	1	2
107548	107594	2	1	0	2
109446	109490	2	0	1	2
109783	109833	2	2	1	2
109956	110003	2	0	1	2
111065	111159	1	0	0	1
111260	111508	1	0	0	1
111707	111753	1	2	1	1
111971	112017	1	1	1	1
112267	112410	0	0	1	1
112481	112525	1	0	0	1
112652	112698	1	0	0	1
112903	113237	1	1	0	1
113382	113424	1	1	0	1
113527	113594	1	1	0	1
113863	114083	1	4	0	1
114423	114542	1	1	0	1
115915	116430	1	3	1	1
116666	116717	1	1	0	1
116974	117084	1	0	0	1
118208	118551	1	4	0	1
118953	119569	1	1	0	1
119900	119944	1	0	0	1
120185	120240	1	0	0	1
120378	120486	1	2	0	1
120710	120761	1	2	1	1
127336	127383	1	1	0	1
127436	128695	1	0	0	1
128896	128943	1	2	1	1
129124	129165	1	2	0	1
129124	129174	1	2	1	1
129333	132101	1	2	2	1
132553	132610	1	1	0	1
132693	133412	1	1	1	1
134428	134504	1	1	0	1
134581	135547	1	2	0	1
135898	136233	1	0	0	1
136712	137207	1	2	1	1
137886	138015	1	0	0	1
138143	138191	1	1	1	1
138351	138391	1	0	2	1
138782	138827	1	0	0	1
139032	139078	1	2	2	1
139331	139376	1	1	1	1
139669	139767	1	1	0	1
139982	140134	1	0	2	1
140292	140369	1	0	0	1
140496	140552	1	1	0	1
140870	140914	1	0	0	1
141213	141679	1	1	0	1
141854	141898	1	1	1	1
142023	142065	1	0	1	1
142230	142276	1	0	0	1
142477	142545	1	2	0	1
142671	142727	1	1	0	1
142939	143005	1	1	0	1
143684	144263	1	0	0	1
144396	144438	1	2	0	1
144971	146389	1	2	0	1
146748	146791	2	0	2	2
146924	147052	2	0	0	2
147731	147782	2	0	0	2
147994	148097	2	0	1	2
148223	149058	2	0	2	2
149259	149301	2	0	0	2
149472	149518	2	0	0	2
149817	150389	2	0	1	2
150688	150732	2	0	0	2
151182	151225	2	0	0	2
151383	151459	2	3	0	2
151674	152067	2	0	1	2
152360	152405	2	1	1	2
152658	152704	2	2	2	2
152909	152954	2	0	0	2
153345	153393	2	2	0	2
153553	153601	2	1	1	2
153680	154757	2	1	2	2
160546	160710	2	2	1	2
160999	161595	2	0	1	2
161889	162366	2	0	0	2
162597	162643	2	0	2	2
162717	163097	2	1	0	2
163430	163498	2	0	3	2
163608	163807	2	0	0	2
164203	164675	2	1	2	2
164765	164898	2	0	1	2
165008	165375	2	0	1	2
165487	165541	2	0	0	2
165660	166000	2	0	0	2
166104	166745	2	0	0	2
166819	169647	2	0	3	2
171368	173410	1	0	0	1
173508	173559	1	0	1	1
173725	173773	1	3	0	1
174312	174603	1	1	0	1
174832	174876	1	0	0	1
175053	175095	1	2	0	1
175241	175577	1	1	1	1
175708	175753	1	1	0	1
178620	180598	1	4	1	1
180465	180598	1	0	1	1
180698	181249	1	4	0	1
181514	181661	1	1	0	1
181767	181812	1	0	0	1
182345	182392	2	0	0	2
182500	182543	2	1	1	2
182616	182670	2	0	2	2
183456	183505	3	2	0	1
183629	183723	1	0	1	1
184209	189047	1	0	0	1
189211	189643	1	2	0	1
189963	190555	1	0	1	1
191067	191176	1	2	0	1
191299	191580	1	1	0	1
191725	191777	1	1	0	1
191858	192690	1	0	0	1
193095	193587	1	0	0	1
193934	194708	1	1	3	1
194798	195018	1	0	0	1
195215	195355	1	0	1	1
195523	196081	1	3	0	1
196333	197203	1	0	0	1
197653	197957	1	0	1	1
198073	200045	1	5	0	1
200503	201301	1	1	0	1
201693	202122	1	0	1	1
202447	203065	1	2	2	1
203358	204260	1	0	0	1
204685	205072	1	2	0	1
205218	205298	1	2	0	1
205597	206418	1	0	0	1
206591	206691	1	2	0	1
206781	207059	1	1	0	1
207311	207702	1	2	3	1
209550	209956	1	1	0	1
210100	210150	1	3	1	1
210329	211068	1	0	0	1
211176	211255	1	1	1	1
211384	211493	1	0	0	1
218205	218770	1	0	0	1
232193	232681	2	0	3	2
233418	233464	2	0	0	2
233573	233624	2	1	1	2
233733	233781	2	0	1	2
233983	234027	2	0	1	2
233983	236251	2	0	0	2
236444	236518	2	0	2	2
236666	237529	2	0	0	2
252183	252234	1	0	0	1
252370	252422	1	0	0	1
253053	253300	1	0	0	1
253469	253706	1	2	0	1
253803	253944	1	0	0	1
254802	254974	2	0	0	2
255079	255193	2	0	1	2
255325	255368	2	1	1	2
255446	255816	2	2	0	2
255960	256314	2	0	1	2
256643	257416	2	0	1	2
257661	258019	2	0	3	2
258358	258546	2	0	1	2
258683	259105	2	0	0	2
280206	280309	1	3	0	1
280431	283517	1	0	0	1
283649	284307	1	1	0	1
284538	285006	1	2	1	1
285211	285556	1	0	0	1
285638	285833	1	0	0	1
286420	286872	2	0	1	2
286420	287507	2	0	0	2
286997	287507	2	0	0	2
288003	288556	2	1	1	2
288644	288748	2	0	1	2
288902	288971	2	0	0	2
291307	295790	1	2	1	1
295420	295790	1	1	1	1
295850	302593	1	2	2	1
301234	302593	1	0	2	1
302704	302759	1	4	0	1
302830	303201	1	2	0	1
303728	303786	1	2	1	1
303909	304091	1	2	0	1
304255	304926	1	2	2	1
306088	306288	2	0	2	2
306608	307089	2	0	0	2
307814	308569	2	1	2	2
308791	309203	2	0	0	2
309434	309540	2	0	3	2
309761	310760	2	0	2	2
311576	311632	2	1	0	2
311784	311834	2	2	2	2
312878	312924	2	0	0	2
313842	313886	2	0	0	2
314102	314152	2	0	0	2
314774	314821	2	1	0	2
319128	319736	2	0	0	2
320417	321073	2	0	2	2
322388	322783	2	0	0	2
323093	323141	2	1	1	2
323934	323977	1	0	0	1
324240	324287	1	2	0	1
324653	325297	1	1	0	1
326048	326957	1	2	0	1
