Feature,Normalized.Dispersion
WBGene00000003,-0.33679129974641575
WBGene00000007,1.1121371642355866
WBGene00000014,NaN
WBGene00000015,NaN
WBGene00000022,0.5272206464341357
WBGene00000024,4.480729933943965
WBGene00000027,1.2372689294527868
WBGene00000029,NaN
WBGene00000030,NaN
WBGene00000031,126.790019548918
WBGene00000054,0.26522265806524936
WBGene00000055,0.5309302766714893
WBGene00000056,0.10644641524105306
WBGene00000057,0.37307728024040787
WBGene00000062,9.576996838735798
WBGene00000063,2.581966050924413
WBGene00000064,0.1501191066910153
WBGene00000065,1.5929403627249306
WBGene00000069,6.601902441389272
WBGene00000071,-0.6247444330757517
WBGene00000073,-0.42931248764509977
WBGene00000097,-0.06486671529766651
WBGene00000098,-1.0486018296818562
WBGene00000102,0.6765859393132718
WBGene00000108,0.06509803659402982
WBGene00000110,1.6768375418393815
WBGene00000111,0.3501336210958723
WBGene00000139,-0.5029736408971307
WBGene00000142,-0.5547278757169644
WBGene00000144,-1.2515721665669006
WBGene00000146,0.09507965841935158
WBGene00000159,-1.2186623552705407
WBGene00000168,1.8079583089657103
WBGene00000172,14.73796442503143
WBGene00000173,0.6874416667005523
WBGene00000174,2.1000935695888763
WBGene00000200,-1.0603768935444566
WBGene00000214,28.496456716602964
WBGene00000215,9.082849209551195
WBGene00000218,14.908704035321671
WBGene00000219,15.954707931155214
WBGene00000226,0.585588473987912
WBGene00000228,3.6084077032836728
WBGene00000233,2.955809181694461
WBGene00000244,3.86477741090151
WBGene00000249,-1.2591514937451502
WBGene00000250,-0.731474864751441
WBGene00000257,-0.044478030403341695
WBGene00000285,0.1945860379295548
WBGene00000298,0.4054868686227982
WBGene00000302,1.571832484108061
WBGene00000373,3.753540913056502
WBGene00000387,0.4121150355833576
WBGene00000412,0.9283196592031178
WBGene00000445,7.932575113064172
WBGene00000447,10.910864974685708
WBGene00000449,10.089531061285577
WBGene00000453,12.119117318797812
WBGene00000454,0.4752671350311903
WBGene00000455,15.500859683220746
WBGene00000477,1.3998882910223345
WBGene00000478,2.766924884031975
WBGene00000480,-0.38599372878074995
WBGene00000488,1.531071735395076
WBGene00000490,3.604048981839278
WBGene00000491,3.2165332133309548
WBGene00000498,-2.1963027649893587
WBGene00000499,3.229726660623941
WBGene00000514,-0.984328657476549
WBGene00000521,6.257059077543183
WBGene00000533,-1.3006016448050475
WBGene00000534,-0.9119496547375453
WBGene00000539,-1.6200714740127302
WBGene00000541,-1.7045370517614413
WBGene00000552,0.14301783142803376
WBGene00000554,0.7635082928357252
WBGene00000555,-0.2671210856462214
WBGene00000556,1.1394452089492249
WBGene00000557,10.316026918217366
WBGene00000558,30.79627577999225
WBGene00000559,NaN
WBGene00000562,1.754477409219418
WBGene00000592,-0.7151002104461921
WBGene00000599,1.296295461174012
WBGene00000601,4.850660617521167
WBGene00000602,1.3894638419140444
WBGene00000614,NaN
WBGene00000620,-1.0495347794205117
WBGene00000712,NaN
WBGene00000713,2.4850164638702887
WBGene00000714,-0.3461030020646086
WBGene00000715,-0.27698413033584207
WBGene00000716,-0.7375959518834933
WBGene00000717,0.5876194332713445
WBGene00000718,1.7896516406896308
WBGene00000719,15.764473658142894
WBGene00000720,1.6341423481393509
WBGene00000721,-0.47446875728504573
WBGene00000722,1.0465002475740448
WBGene00000723,23.13918779739404
WBGene00000724,-0.09002707618778126
WBGene00000725,-2.059447514320414
WBGene00000726,3.5238084093020365
WBGene00000727,2.917994271037828
WBGene00000728,4.690517002505028
WBGene00000729,-1.935425813106884
WBGene00000730,1.6204132918619993
WBGene00000731,-0.2267747301300622
WBGene00000732,32.74859674146399
WBGene00000733,2.4368700677936257
WBGene00000734,0.8903352347158191
WBGene00000735,-1.6637135196920347
WBGene00000736,0.7620597882249326
WBGene00000766,-0.8471928244569317
WBGene00000776,7.707437454157056
WBGene00000781,-2.004600832196018
WBGene00000782,0.25696006785411923
WBGene00000783,-0.9315102961871925
WBGene00000784,6.296767931182466
WBGene00000785,0.7730847835937841
WBGene00000789,9.659567172057704
WBGene00000795,-1.0146326453046117
WBGene00000802,-0.808360347854851
WBGene00000813,-0.7419282619805887
WBGene00000838,-0.9236095767650304
WBGene00000840,-1.0233368639931455
WBGene00000859,-0.6507341323456627
WBGene00000860,3.7539797566796507
WBGene00000861,0.27311818194923776
WBGene00000862,4.890889674233653
WBGene00000868,-0.5108991974620026
WBGene00000876,-0.9962746293118403
WBGene00000877,-1.0469589762324933
WBGene00000879,-1.0862381118250155
WBGene00000883,-0.9751402906787114
WBGene00000893,42.64916253056063
WBGene00000907,18.047665659933852
WBGene00000915,-0.49758138595935514
WBGene00000920,1.892641663282103
WBGene00000936,-0.19632238446509276
WBGene00000940,-1.4164738174836895
WBGene00000951,2.779241929366489
WBGene00000955,3.2299026745000243
WBGene00000976,0.13709529449935742
WBGene00000977,-1.559607252627888
WBGene00000978,-0.04786075965036768
WBGene00000979,2.7783422720212845
WBGene00000980,5.972600279883367
WBGene00000981,4.537568133423428
WBGene00000982,-0.7188156939586253
WBGene00000983,0.8940764248380241
WBGene00000984,2.1454231474667202
WBGene00000985,-1.229035060493087
WBGene00000986,2.9855064427746774
WBGene00000987,0.9516934052921324
WBGene00001021,-1.1750143901961885
WBGene00001037,-1.186665822482872
WBGene00001040,-0.6609297800412579
WBGene00001043,1.1010616327037916
WBGene00001053,1.453593795654131
WBGene00001054,1.7919812400732136
WBGene00001062,1.8810908286670702
WBGene00001073,2.958636598689236
WBGene00001080,0.49717358304103615
WBGene00001088,-0.9126599422951096
WBGene00001089,1.0724059170413904
WBGene00001095,-1.640053140079533
WBGene00001109,10.908017268623244
WBGene00001110,-1.9162728478800828
WBGene00001137,0.761454213624884
WBGene00001150,-0.6016314071686492
WBGene00001152,-0.6401319314653289
WBGene00001161,-0.8308319217044752
WBGene00001170,13.700561193531069
WBGene00001171,0.2683075567195582
WBGene00001172,3.1328150932126357
WBGene00001177,3.4283762722306887
WBGene00001178,0.028584790600866144
WBGene00001179,0.06116136154785124
WBGene00001210,10.41854708916352
WBGene00001211,3.547080611909942
WBGene00001233,-0.3804243525644229
WBGene00001248,-0.03329346721770814
WBGene00001258,-0.3783885812869574
WBGene00001303,-0.9549663036424149
WBGene00001310,-0.29327758935502896
WBGene00001311,0.8607350030950907
WBGene00001345,2.549555686688721
WBGene00001374,4.788644122989017
WBGene00001387,3.585552065671776
WBGene00001389,0.8941673432053977
WBGene00001397,-0.18953481609194398
WBGene00001399,-0.8797234176383526
WBGene00001406,0.7070127047600648
WBGene00001423,-0.15620804716065118
WBGene00001428,9.003888808272396
WBGene00001429,1.4702876999365866
WBGene00001431,-0.6208126592241388
WBGene00001449,4.995043680098259
WBGene00001464,94.32907804798398
WBGene00001466,0.48137414721237887
WBGene00001475,4.742958836335446
WBGene00001479,2.4347287522960466
WBGene00001480,-0.5462011595815696
WBGene00001482,-0.9403622262132901
WBGene00001485,-0.5309579744577066
WBGene00001493,-0.36910459891105485
WBGene00001496,-0.08339812098625937
WBGene00001500,1.108075739816928
WBGene00001506,-0.6393036031833622
WBGene00001508,1.2272398076385842
WBGene00001513,-0.3469563823123097
WBGene00001519,3.7470882705681547
WBGene00001526,-0.4125937773995502
WBGene00001533,6.560723005348851
WBGene00001534,5.5712702454171765
WBGene00001539,0.6931592883513952
WBGene00001540,16.100165423308326
WBGene00001545,1.512896292938688
WBGene00001547,10.418940502217875
WBGene00001552,8.642018898347525
WBGene00001553,25.378160064378584
WBGene00001554,4.685244149169736
